,g,k,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,label
127,0.01,0.28,0.03075275,0.02064853,0.02048984,0.02048191,-0.01053389,-0.00011385,-5.165e-05,-4.733e-05,0.97967135,0.97935029,0.97933906,0.9793382,1
128,0.01,0.29,0.03304322,0.02221175,0.02202517,0.02201533,-0.01133544,-0.00013987,-6.348e-05,-5.811e-05,0.97816536,0.97779462,0.97778051,0.97777937,1
129,0.01,0.3,0.03542364,0.02383985,0.02362208,0.02360995,-0.01217164,-0.00017004,-7.746e-05,-7.083e-05,0.97660209,0.97617592,0.97615832,0.97615682,1
130,0.01,0.31,0.03789538,0.02553413,0.02528161,0.02526681,-0.01304348,-0.00020482,-9.385e-05,-8.574e-05,0.97498096,0.97449314,0.97447134,0.97446939,1
131,0.01,0.32,0.04045994,0.02729599,0.02700493,0.02698699,-0.01395199,-0.00024472,-0.00011297,-0.00010312,0.97330135,0.97274513,0.97271833,0.9727158,1
132,0.01,0.33,0.04311892,0.02912691,0.02879326,0.02877167,-0.0148983,-0.00029029,-0.00013516,-0.00012327,0.97156259,0.97093071,0.97089793,0.9708947,1
133,0.01,0.34,0.04587402,0.03102848,0.03064793,0.03062212,-0.01588362,-0.00034209,-0.00016079,-0.00014652,0.96976396,0.96904856,0.96900872,0.96900461,1
134,0.01,0.35,0.04872712,0.0330024,0.03257039,0.03253971,-0.01690924,-0.00040075,-0.00019023,-0.00017321,0.96790468,0.96709732,0.96704914,0.96704395,1
135,0.01,0.36,0.05168019,0.03505048,0.03456216,0.03452593,-0.01797655,-0.00046691,-0.0002239,-0.00020372,0.96598391,0.96507548,0.96501752,0.96501101,1
136,0.01,0.37,0.05473539,0.03717466,0.03662492,0.03658234,-0.01908703,-0.00054129,-0.00026225,-0.00023844,0.96400074,0.96298146,0.96291205,0.96290394,1
137,0.01,0.38,0.05789498,0.039377,0.03876044,0.03871067,-0.02024225,-0.00062461,-0.00030575,-0.00027779,0.9619542,0.96081354,0.9607308,0.96072076,1
138,0.01,0.39,0.06116142,0.04165968,0.04097062,0.04091274,-0.02144388,-0.00071765,-0.0003549,-0.00032222,0.95984323,0.95856989,0.95847168,0.95845932,1
139,0.01,0.4,0.0645373,0.04402504,0.04325752,0.0431905,-0.02269369,-0.00082123,-0.00041022,-0.00037218,0.9576667,0.95624854,0.95613244,0.9561173,1
140,0.01,0.41,0.06802539,0.04647556,0.04562332,0.04554606,-0.02399356,-0.0009362,-0.00047227,-0.00042818,0.95542339,0.95384739,0.95371065,0.9536922,1
141,0.01,0.42,0.07162865,0.04901386,0.04807036,0.04798168,-0.02534547,-0.00106346,-0.00054162,-0.00049071,0.95311197,0.95136417,0.95120371,0.95118135,1
142,0.01,0.43,0.07535019,0.05164273,0.05060114,0.05049975,-0.02675148,-0.00120395,-0.00061888,-0.00056032,0.95073103,0.94879647,0.94860882,0.94858183,1
143,0.01,0.44,0.07919332,0.05436512,0.05321832,0.05310284,-0.02821379,-0.00135865,-0.00070469,-0.00063757,0.94827905,0.9461417,0.94592296,0.94589055,1
144,0.01,0.45,0.08316154,0.05718415,0.05592473,0.05579369,-0.02973466,-0.00152856,-0.00079968,-0.00072301,0.94575439,0.94339708,0.94314291,0.94310414,1
145,0.01,0.46,0.08725853,0.06010313,0.05872339,0.05857522,-0.03131649,-0.00171474,-0.00090454,-0.00081724,0.94315529,0.94055965,0.9402652,0.94021902,1
146,0.01,0.47,0.09148817,0.06312552,0.0616175,0.06145052,-0.03296174,-0.00191826,-0.00101996,-0.00092086,0.94047988,0.93762625,0.93728611,0.93723131,1
147,0.01,0.48,0.09585454,0.06625499,0.06461044,0.06442289,-0.03467301,-0.00214024,-0.00114665,-0.00103449,0.93772616,0.9345935,0.93420168,0.9341369,1
148,0.01,0.49,0.10036189,0.0694954,0.06770582,0.06749581,-0.03645293,-0.00238181,-0.00128532,-0.00115876,0.93489197,0.9314578,0.93100765,0.93093135,1
149,0.01,0.5,0.10501468,0.07285078,0.07090741,0.07067298,-0.03830427,-0.00264414,-0.00143672,-0.00129429,0.93197502,0.92821533,0.92769949,0.92760993,1
150,0.01,0.51,0.10981756,0.07632537,0.07421922,0.07395829,-0.04022984,-0.0029284,-0.00160158,-0.00144172,0.9289729,0.92486203,0.92427236,0.9241676,1
151,0.01,0.52,0.11477534,0.0799236,0.07764546,0.07735586,-0.04223252,-0.00323579,-0.00178065,-0.00160169,0.92588301,0.92139358,0.92072114,0.92059899,1
152,0.01,0.53,0.11989303,0.08365008,0.08119053,0.08087001,-0.04431526,-0.00356751,-0.00197467,-0.00177481,0.92270263,0.91780542,0.91704036,0.91689838,1
153,0.01,0.54,0.12517577,0.08750964,0.08485907,0.08450528,-0.04648105,-0.00392478,-0.00218437,-0.00196171,0.91942886,0.91409273,0.91322425,0.91305972,1
154,0.01,0.55,0.13062886,0.09150724,0.0886559,0.08826641,-0.0487329,-0.00430878,-0.00241048,-0.00216299,0.91605865,0.91025042,0.9092667,0.9090766,1
